resp_ind,industry,product_id,channel,reason_id
0,Education (Strategic HR),OTAE40110,SKLM,1
0,Community Work,OCHC40512,SEO,1
0,Business and Accounting,BA-BUSBAD3,SKLM,1
0,Business and Accounting,SLBSB50215,SKNV,1
0,Events+Hospitality,WB11VDIH1FDEU,SKNV,1
0,Education,OCHC30113,SEMG,1
0,Community Work (Medical),OCHC30212,DSPB,1
0,Events+Hospitality,OSIT40313,SKLM,1
0,Business (Property),OAHC50610,SEMG,1
1,Education (Strategic TESOL),TPC,SEO,1
0,Business and Accounting,OHLT32512,SEO,1
0,Admin,SLBSB51215,SEO,1
0,Community Work,OCHC40413,DIRECT,1
0,IT,CAPM,SEO,1
0,Not assigned,#,SKNV,1
0,IT,FCERTITCAT,SEO,1
0,Design,BACDCOMFTBNEU,DIRECT,1
0,Education,OCHC30213,SEMB,1
0,Community Work (Medical),OCHC30408,DIRECT,1
0,Business and Accounting,OFNS40211,SEO,1
0,IT,PMP,SEO,1
0,IT,OCA11G,SKLM,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,DIRECT,1
0,IT,CCNPS,DIRECT,1
0,Construction,OCPC50210,SKLM,1
0,Community Work,OCHC40413,SEMG,1
0,Business and Accounting,OFNS40211,SEO,1
0,Business and Accounting,OBSB20112,DIRECT,1
0,Construction,OCPC40110,SEMG,1
0,Business and Accounting,OFNS40211,DIRECT,1
0,HR,OBSB41013,SEMG,1
0,Community (Medical),OHLT52012,SKLM,1
0,Marketing,OBSB41307,SEO,1
0,Not assigned,#,SKLM,1
0,Education,OCHC30113,SKLM,1
0,IT,#,DIRECT,1
0,Community Work,OCHC50612,SEMG,1
0,Business and Accounting,OFNS40211,SKLM,1
0,Natural Health,C4MAFTBN,SEMB,1
0,Events+Hospitality,OSIT40313,SEMG,1
0,Community Work (Medical),OCHC30212,DSPP,1
0,Counselling,BCOUNS,SEMG,1
0,Counselling,BCOUNS,SEMG,1
0,Business and Accounting,OFNS40611,DIRECT,1
0,Business (Property),OAHC50610,SEMG,1
0,Education,OCHC50113,SEMG,1
0,HR,OBSB51915-DP-OBSB50615-DP,SKLM,1
0,Education,OCHC50113,SEMG,1
0,Counselling,DOCO,SEO,1
0,Community Work (Medical),OCHC30212,SEMG,1
0,Admin,OBSB40515,SKLM,1
1,Education (Strategic TESOL),TPC,SEO,1
1,Community (Medical),OHLT31812,SEO,1
0,Education (Strategic HR),OTAE40110,SEMG,1
